# FONLL heavy quark hadroproduction cross section, calculated on Tue Mar 24 20:48:14 CET 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = D from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 50.025
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.9750 3.0050e+06 2.0679e+06 4.3012e+06 2.1810e+06 4.2050e+06 2.6600e+06 3.4050e+06 2.7220e+06 3.2880e+06 3.2590e+06 2.7930e+06 3.5710e+06 2.2660e+06 4.2050e+06 2.1810e+06
4.0250 2.9220e+06 2.0167e+06 4.1799e+06 2.1260e+06 4.0880e+06 2.5890e+06 3.3070e+06 2.6480e+06 3.1950e+06 3.1740e+06 2.7130e+06 3.4700e+06 2.2040e+06 4.0880e+06 2.1260e+06
4.0750 2.8410e+06 1.9666e+06 4.0611e+06 2.0720e+06 3.9730e+06 2.5200e+06 3.2120e+06 2.5760e+06 3.1050e+06 3.0910e+06 2.6350e+06 3.3710e+06 2.1430e+06 3.9730e+06 2.0720e+06
4.1250 2.7620e+06 1.9181e+06 3.9477e+06 2.0200e+06 3.8630e+06 2.4520e+06 3.1200e+06 2.5060e+06 3.0180e+06 3.0100e+06 2.5600e+06 3.2750e+06 2.0840e+06 3.8630e+06 2.0200e+06
4.1750 2.6850e+06 1.8711e+06 3.8363e+06 1.9690e+06 3.7550e+06 2.3870e+06 3.0300e+06 2.4380e+06 2.9330e+06 2.9310e+06 2.4860e+06 3.1820e+06 2.0270e+06 3.7550e+06 1.9690e+06
4.2250 2.6110e+06 1.8240e+06 3.7279e+06 1.9190e+06 3.6500e+06 2.3230e+06 2.9440e+06 2.3710e+06 2.8500e+06 2.8550e+06 2.4150e+06 3.0910e+06 1.9710e+06 3.6500e+06 1.9190e+06
4.2750 2.5390e+06 1.7779e+06 3.6224e+06 1.8700e+06 3.5480e+06 2.2600e+06 2.8590e+06 2.3070e+06 2.7700e+06 2.7800e+06 2.3460e+06 3.0030e+06 1.9170e+06 3.5480e+06 1.8700e+06
4.3250 2.4680e+06 1.7345e+06 3.5206e+06 1.8230e+06 3.4490e+06 2.2000e+06 2.7770e+06 2.2440e+06 2.6920e+06 2.7070e+06 2.2790e+06 2.9170e+06 1.8640e+06 3.4490e+06 1.8230e+06
4.3750 2.4000e+06 1.6916e+06 3.4216e+06 1.7770e+06 3.3530e+06 2.1410e+06 2.6980e+06 2.1840e+06 2.6160e+06 2.6370e+06 2.2140e+06 2.8350e+06 1.8130e+06 3.3530e+06 1.7770e+06
4.4250 2.3340e+06 1.6492e+06 3.3248e+06 1.7320e+06 3.2590e+06 2.0840e+06 2.6210e+06 2.1240e+06 2.5430e+06 2.5680e+06 2.1500e+06 2.7540e+06 1.7630e+06 3.2590e+06 1.7320e+06
4.4750 2.2690e+06 1.6084e+06 3.2323e+06 1.6880e+06 3.1690e+06 2.0280e+06 2.5460e+06 2.0670e+06 2.4720e+06 2.5010e+06 2.0890e+06 2.6760e+06 1.7150e+06 3.1690e+06 1.6880e+06
4.5250 2.2070e+06 1.5678e+06 3.1407e+06 1.6450e+06 3.0800e+06 1.9740e+06 2.4740e+06 2.0110e+06 2.4030e+06 2.4350e+06 2.0300e+06 2.6000e+06 1.6680e+06 3.0800e+06 1.6450e+06
4.5750 2.1460e+06 1.5283e+06 3.0532e+06 1.6030e+06 2.9950e+06 1.9210e+06 2.4030e+06 1.9560e+06 2.3360e+06 2.3720e+06 1.9720e+06 2.5270e+06 1.6220e+06 2.9950e+06 1.6030e+06
4.6250 2.0870e+06 1.4907e+06 2.9677e+06 1.5630e+06 2.9120e+06 1.8700e+06 2.3350e+06 1.9030e+06 2.2700e+06 2.3100e+06 1.9160e+06 2.4550e+06 1.5780e+06 2.9120e+06 1.5630e+06
4.6750 2.0300e+06 1.4531e+06 2.8844e+06 1.5230e+06 2.8310e+06 1.8200e+06 2.2690e+06 1.8520e+06 2.2070e+06 2.2500e+06 1.8620e+06 2.3860e+06 1.5350e+06 2.8310e+06 1.5230e+06
