# FONLL heavy quark hadroproduction cross section, calculated on Tue Apr  7 18:40:05 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.7037 3.8319e+07 1.8871e+07 6.9054e+07 2.0424e+07 6.7430e+07 3.1714e+07 4.7421e+07 3.4530e+07 4.2108e+07 3.8142e+07 3.4928e+07 5.1497e+07 2.5070e+07 6.7430e+07 2.0424e+07
3.7538 3.6875e+07 1.8381e+07 6.6177e+07 1.9871e+07 6.4624e+07 3.0565e+07 4.5564e+07 3.3256e+07 4.0493e+07 3.6937e+07 3.3546e+07 4.9364e+07 2.4181e+07 6.4624e+07 1.9871e+07
3.8038 3.5489e+07 1.7899e+07 6.3431e+07 1.9330e+07 6.1946e+07 2.9460e+07 4.3786e+07 3.2032e+07 3.8945e+07 3.5766e+07 3.2226e+07 4.7330e+07 2.3326e+07 6.1946e+07 1.9330e+07
3.8539 3.4159e+07 1.7427e+07 6.0809e+07 1.8801e+07 5.9389e+07 2.8399e+07 4.2082e+07 3.0856e+07 3.7461e+07 3.4629e+07 3.0963e+07 4.5390e+07 2.2503e+07 5.9389e+07 1.8801e+07
3.9039 3.2883e+07 1.6964e+07 5.8306e+07 1.8283e+07 5.6948e+07 2.7379e+07 4.0449e+07 2.9726e+07 3.6039e+07 3.3525e+07 2.9756e+07 4.3538e+07 2.1712e+07 5.6948e+07 1.8283e+07
3.9540 3.1658e+07 1.6510e+07 5.5916e+07 1.7777e+07 5.4617e+07 2.6398e+07 3.8885e+07 2.8640e+07 3.4676e+07 3.2455e+07 2.8603e+07 4.1772e+07 2.0950e+07 5.4617e+07 1.7777e+07
4.0040 3.0483e+07 1.6066e+07 5.3634e+07 1.7283e+07 5.2392e+07 2.5456e+07 3.7387e+07 2.7597e+07 3.3370e+07 3.1417e+07 2.7499e+07 4.0086e+07 2.0217e+07 5.2392e+07 1.7283e+07
4.0541 2.9356e+07 1.5632e+07 5.1455e+07 1.6801e+07 5.0266e+07 2.4550e+07 3.5951e+07 2.6595e+07 3.2117e+07 3.0410e+07 2.6444e+07 3.8477e+07 1.9512e+07 5.0266e+07 1.6801e+07
4.1041 2.8274e+07 1.5207e+07 4.9373e+07 1.6330e+07 4.8236e+07 2.3680e+07 3.4575e+07 2.5632e+07 3.0916e+07 2.9436e+07 2.5435e+07 3.6941e+07 1.8834e+07 4.8236e+07 1.6330e+07
4.1542 2.7236e+07 1.4792e+07 4.7385e+07 1.5871e+07 4.6298e+07 2.2843e+07 3.3258e+07 2.4707e+07 2.9766e+07 2.8491e+07 2.4470e+07 3.5475e+07 1.8182e+07 4.6298e+07 1.5871e+07
4.2042 2.6240e+07 1.4386e+07 4.5486e+07 1.5424e+07 4.4446e+07 2.2039e+07 3.1995e+07 2.3818e+07 2.8662e+07 2.7577e+07 2.3547e+07 3.4074e+07 1.7554e+07 4.4446e+07 1.5424e+07
4.2543 2.5285e+07 1.3990e+07 4.3672e+07 1.4987e+07 4.2676e+07 2.1267e+07 3.0785e+07 2.2965e+07 2.7605e+07 2.6692e+07 2.2663e+07 3.2737e+07 1.6950e+07 4.2676e+07 1.4987e+07
4.3043 2.4368e+07 1.3604e+07 4.1939e+07 1.4562e+07 4.0986e+07 2.0524e+07 2.9626e+07 2.2145e+07 2.6591e+07 2.5835e+07 2.1818e+07 3.1460e+07 1.6369e+07 4.0986e+07 1.4562e+07
4.3544 2.3488e+07 1.3227e+07 4.0282e+07 1.4148e+07 3.9370e+07 1.9811e+07 2.8515e+07 2.1357e+07 2.5618e+07 2.5007e+07 2.1008e+07 3.0239e+07 1.5810e+07 3.9370e+07 1.4148e+07
4.4044 2.2643e+07 1.2859e+07 3.8700e+07 1.3745e+07 3.7827e+07 1.9125e+07 2.7450e+07 2.0600e+07 2.4686e+07 2.4205e+07 2.0234e+07 2.9073e+07 1.5272e+07 3.7827e+07 1.3745e+07
4.4545 2.1833e+07 1.2501e+07 3.7187e+07 1.3353e+07 3.6351e+07 1.8466e+07 2.6430e+07 1.9873e+07 2.3792e+07 2.3430e+07 1.9492e+07 2.7959e+07 1.4754e+07 3.6351e+07 1.3353e+07
4.5045 2.1055e+07 1.2152e+07 3.5742e+07 1.2972e+07 3.4942e+07 1.7832e+07 2.5452e+07 1.9175e+07 2.2935e+07 2.2680e+07 1.8782e+07 2.6894e+07 1.4256e+07 3.4942e+07 1.2972e+07
4.5546 2.0309e+07 1.1813e+07 3.4361e+07 1.2602e+07 3.3594e+07 1.7223e+07 2.4515e+07 1.8504e+07 2.2113e+07 2.1957e+07 1.8101e+07 2.5875e+07 1.3777e+07 3.3594e+07 1.2602e+07
4.6046 1.9592e+07 1.1484e+07 3.3041e+07 1.2243e+07 3.2306e+07 1.6638e+07 2.3618e+07 1.7860e+07 2.1325e+07 2.1258e+07 1.7448e+07 2.4900e+07 1.3317e+07 3.2306e+07 1.2243e+07
4.6547 1.8905e+07 1.1164e+07 3.1778e+07 1.1895e+07 3.1075e+07 1.6075e+07 2.2758e+07 1.7241e+07 2.0568e+07 2.0582e+07 1.6822e+07 2.3967e+07 1.2874e+07 3.1075e+07 1.1895e+07
4.7047 1.8244e+07 1.0853e+07 3.0571e+07 1.1557e+07 2.9897e+07 1.5533e+07 2.1933e+07 1.6646e+07 1.9842e+07 1.9930e+07 1.6222e+07 2.3074e+07 1.2447e+07 2.9897e+07 1.1557e+07
4.7548 1.7610e+07 1.0551e+07 2.9416e+07 1.1229e+07 2.8770e+07 1.5013e+07 2.1142e+07 1.6075e+07 1.9146e+07 1.9300e+07 1.5646e+07 2.2219e+07 1.2037e+07 2.8770e+07 1.1229e+07
