# Job started on: Wed Aug  4 01:17:48 CEST 2021 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug  4 01:19:06 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 12
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
7.9664 6.4724e+06 4.5961e+06 9.4142e+06 4.7888e+06 9.2478e+06 5.8677e+06 7.2669e+06 5.9066e+06 7.0382e+06 7.1739e+06 5.9571e+06 7.7783e+06 4.8153e+06 9.2478e+06 4.7888e+06
8.0672 6.1675e+06 4.4002e+06 8.9426e+06 4.5834e+06 8.7850e+06 5.5981e+06 6.9158e+06 5.6292e+06 6.7059e+06 6.8446e+06 5.6736e+06 7.3943e+06 4.5976e+06 8.7850e+06 4.5834e+06
8.1681 5.8794e+06 4.2138e+06 8.4986e+06 4.3881e+06 8.3493e+06 5.3430e+06 6.5845e+06 5.3670e+06 6.3919e+06 6.5325e+06 5.4060e+06 7.0326e+06 4.3914e+06 8.3493e+06 4.3881e+06
8.2689 5.6070e+06 4.0307e+06 8.0806e+06 4.1960e+06 7.9390e+06 5.1014e+06 6.2718e+06 5.1190e+06 6.0951e+06 6.2368e+06 5.1532e+06 6.6917e+06 4.1960e+06 7.9390e+06 4.2023e+06
8.3697 5.3494e+06 3.8543e+06 7.6866e+06 4.0108e+06 7.5523e+06 4.8726e+06 5.9765e+06 4.8844e+06 5.8145e+06 5.9563e+06 4.9142e+06 6.3702e+06 4.0108e+06 7.5523e+06 4.0254e+06
8.4706 5.1056e+06 3.6868e+06 7.3151e+06 3.8351e+06 7.1877e+06 4.6558e+06 5.6975e+06 4.6623e+06 5.5490e+06 5.6904e+06 4.6883e+06 6.0669e+06 3.8351e+06 7.1877e+06 3.8570e+06
8.5714 4.8748e+06 3.5278e+06 6.9647e+06 3.6685e+06 6.8437e+06 4.4503e+06 5.4338e+06 4.4520e+06 5.2977e+06 5.4380e+06 4.4745e+06 5.7805e+06 3.6685e+06 6.8437e+06 3.6967e+06
8.6723 4.6562e+06 3.3769e+06 6.6340e+06 3.5103e+06 6.5190e+06 4.2553e+06 5.1843e+06 4.2528e+06 5.0597e+06 5.1985e+06 4.2722e+06 5.5099e+06 3.5103e+06 6.5190e+06 3.5440e+06
8.7731 4.4491e+06 3.2334e+06 6.3217e+06 3.3600e+06 6.2124e+06 4.0703e+06 4.9483e+06 4.0639e+06 4.8343e+06 4.9712e+06 4.0806e+06 5.2543e+06 3.3600e+06 6.2124e+06 3.3985e+06
8.8739 4.2528e+06 3.0971e+06 6.0266e+06 3.2174e+06 5.9226e+06 3.8947e+06 4.7249e+06 3.8849e+06 4.6206e+06 4.7552e+06 3.8991e+06 5.0125e+06 3.2174e+06 5.9226e+06 3.2599e+06
8.9748 4.0666e+06 2.9675e+06 5.7477e+06 3.0818e+06 5.6487e+06 3.7280e+06 4.5133e+06 3.7151e+06 4.4181e+06 4.5501e+06 3.7271e+06 4.7838e+06 3.0818e+06 5.6487e+06 3.1277e+06
